"$charge","Points, required for activation of ultimate abilities. The points are acquired for every succesful action, like dealing damage or killing an enemy.","Its tooltip","Variable"
"$charge_Name","Charge","Translation for type $charge","Code"
"$energetic","Deals full damage regardless the place of the hit. Can't damage separate parts of the body, or vulnerabilities.","Its tooltip","Variable"
"$energetic_Name","Energetic","Translation for type $energetic","Code"
"$piercing","Projectile pierces enemies, obstacles and shields, dealing full damage to all targets in its path.","Its tooltip","Variable"
"$piercing_Name","Piercing","Translation for type $piercing","Code"
"{ammo}","other{}","its formula field for {ammo} word","Variable"
"{bullets}","=1{ bullet} other{ bullets}","its formula field for {bullets} word","Variable"
"{charge}","=1{charge} other{charges}","its formula field for {charge} word","Variable"
"{cold}","other{}","its formula field for {cold} word","Variable"
"{count}","other{}","its formula field for {count} word","Variable"
"{distance}","=1{meter} other{meters}","its formula field for {distance} word","Variable"
"{electr}","other{}","its formula field for {electr} word","Variable"
"{fire}","other{}","its formula field for {fire} word","Variable"
"{hot}","other{}","its formula field for {hot} word","Variable"
"{hp}","other{}","its formula field for {hp} word","Variable"
"{ice}","other{}","its formula field for {ice} word","Variable"
"{level}","=1{level} other{levels}","its formula field for {level} word","Variable"
"{mob}","other{}","its formula field for {mob} word","Variable"
"{percent}","other{%}","its formula field for {percent} word","Variable"
"{phys}","other{}","its formula field for {phys} word","Variable"
"{second}","=1{second} other{seconds}","its formula field for {second} word","Variable"
"{stun}","=1{second} other{seconds}","its formula field for {stun} word","Variable"
"{var}","other{}","its formula field for {var} word","Variable"
"accept","Accept","OK","PrefabAndScene"
"ads_failed","Failed to show an advertisement, please try again later.","Empty","Code"
"ar_problem_dont_move","DON'T MOVE","Empty","PrefabAndScene"
"ar_problem_look_at_objects","LOOK AROUND","Empty","PrefabAndScene"
"ar_problem_too_dark","TOO DARK, FIND A BRIGHT SPOT","Empty","PrefabAndScene"
"armorconfig_description","Without this protective suit moving through the seals would be impossible.","From confluence or google tables, modify Ru there","Config"
"armorconfig_group_name","Armor","From confluence or google tables, modify Ru there","Config"
"armorconfig_name","Armor","From confluence or google tables, modify Ru there","Config"
"armorconfig_parameter_0","Health","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Description","Once at the beginning of the battle the rifter gets additional {hp}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Name","Holographic Projector","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Rune_1","Additional health is increased to {hp}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Rune_2","Additional health points restore at a rate of {hp} per second.","From confluence or google tables, modify Ru there","Config"
