"$charge","Очки, необходимые для активации ультимативных способностей. Накапливаются за успешные действия, такие как нанесение урона и убийство.","Its tooltip","Variable"
"$charge_Name","Заряда","Translation for type $charge","Code"
"$energetic","Наносит полный урон независимо от места попадания. Не может повредить отдельные части тела или уязвимые точки противника.","Its tooltip","Variable"
"$energetic_Name","Энергетическое","Translation for type $energetic","Code"
"$piercing","Снаряд пробивает врагов, препятствия и щиты, нанося полный урон всем целям на своем пути.","Its tooltip","Variable"
"$piercing_Name","Пробивной","Translation for type $piercing","Code"
"{ammo}","other{}","its formula field for {ammo} word","Variable"
"{bullets}","_1|=11|{ выстрел} _[2-4]|=[12-14]{ выстрела} other{ выстрелов}","its formula field for {bullets} word","Variable"
"{charge}","_1|=11|{ заряд} _[2-4]|=[12-14]{ заряда} other{ зарядов}","its formula field for {charge} word","Variable"
"{cold}","other{}","its formula field for {cold} word","Variable"
"{count}","other{}","its formula field for {count} word","Variable"
"{distance}","_1|=11|{ метр} _[2-4]|=[12-14]{ метра} other{ метров}","its formula field for {distance} word","Variable"
"{electr}","other{}","its formula field for {electr} word","Variable"
"{fire}","other{}","its formula field for {fire} word","Variable"
"{hot}","other{}","its formula field for {hot} word","Variable"
"{hp}","other{}","its formula field for {hp} word","Variable"
"{ice}","other{}","its formula field for {ice} word","Variable"
"{level}","_1|=11|{ уровень} _[2-4]|=[12-14]{ уровня} other{ уровней}","its formula field for {level} word","Variable"
"{mob}","other{}","its formula field for {mob} word","Variable"
"{percent}","other{%}","its formula field for {percent} word","Variable"
"{phys}","other{}","its formula field for {phys} word","Variable"
"{second}","_1|=11|{ секунда} _[2-4]|=[12-14]{ секунды} other{ секунд}","its formula field for {second} word","Variable"
"{stun}","_1|=11|{ секунда} _[2-4]|=[12-14]{ секунды} other{ секунд}","its formula field for {stun} word","Variable"
"{var}","other{}","its formula field for {var} word","Variable"
"accept","Принять","OK","PrefabAndScene"
"ads_failed","Не удалось показать рекламу, попробуйте позже.","Empty","Code"
"ar_problem_dont_move","НЕ ДВИГАЙТЕСЬ","Empty","PrefabAndScene"
"ar_problem_look_at_objects","ОСМОТРИТЕСЬ","Empty","PrefabAndScene"
"ar_problem_too_dark","СЛИШКОМ ТЕМНО, НАЙДИТЕ СВЕТЛОЕ МЕСТО","Empty","PrefabAndScene"
"armorconfig_description","Без этого защитного костюма перемещения с помощью печатей было бы невозможно.","From confluence or google tables, modify Ru there","Config"
"armorconfig_group_name","Броня","From confluence or google tables, modify Ru there","Config"
"armorconfig_name","Броня","From confluence or google tables, modify Ru there","Config"
"armorconfig_parameter_0","Здоровье","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Description","Один раз в начале боя рифтер получает дополнительно {hp}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Name","Голографический Проектор","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Rune_1","Дополнительное здоровье увеличено до {hp}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Rune_2","Дополнительные очки здоровья восстанавливаются со скоростью {hp} в секунду.","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_AdditionalHp_Rune_3","Пока есть дополнительные очки здоровья, рифтер не может потерять своё основное здоровье.","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_BasiliskSkin_Description","Весь входящий урон уменьшается на {count}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_BasiliskSkin_Name","Чешуя Василиска","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_BasiliskSkin_Rune_1","Входящий урон уменьшен на {count}","From confluence or google tables, modify Ru there","Config"
"ArmorModificator_BasiliskSkin_Rune_2","Весь входящий урон дополнительно уменьшен на {var}%.","From confluence or google tables, modify Ru there","Config"
